port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
PECLL,-12.05451,-77.14794,-12.05438,-77.14796,2022-07-03 17:15:39 Z,-11.9975,-77.28399,2022-07-03 17:15:39 Z,-12.05441,-77.14795,2022-07-04 19:05:05 Z
CLIQQ,-20.2047,-70.15587,-20.20458,-70.15587,2022-07-09 13:24:58 Z,-20.07993,-70.31067,2022-07-09 13:24:58 Z,-20.20464,-70.15584,2022-07-10 01:10:06 Z
CLPAG,-23.06665,-70.3861,-23.06664,-70.38606,2022-07-11 06:18:02 Z,-23.00281,-70.44744,2022-07-11 06:18:02 Z,-23.06663,-70.38608,2022-07-12 18:37:12 Z
CLVAP,-33.03247,-71.62657,-33.02927,-71.62727,2022-07-16 02:25:08 Z,-32.95367,-71.62738,2022-07-16 02:25:08 Z,-33.03238,-71.62654,2022-07-19 04:00:47 Z
CLCNL,-37.03381,-73.15324,-37.03341,-73.15327,2022-07-20 13:02:48 Z,-37.0397,-73.28211,2022-07-20 13:02:48 Z,-37.03366,-73.15308,2022-07-20 23:07:03 Z
CNSTJ,22.57442,114.26463,22.57458,114.26445,2022-08-14 09:15:25 Z,22.57456,114.2644,2022-08-14 11:43:25 Z,22.57452,114.26446,2022-08-15 18:18:30 Z
HKHKG,22.33529,114.1164,22.33562,114.11636,2022-08-16 03:12:20 Z,22.33578,114.11635,2022-08-16 09:48:22 Z,22.33565,114.11643,2022-08-17 07:12:22 Z
TWKEL,25.14912667,121.751235,25.14931,121.75081,2022-08-18 11:31:31 Z,25.21847,121.73984,2022-08-18 11:31:31 Z,25.14931,121.75084667,2022-08-19 10:01:05 Z
CNYAN,30.650405,122.02975333,30.650685,122.02976833,2022-08-20 15:36:35 Z,30.651285,122.029625,2022-08-20 21:16:07 Z,30.65061833,122.02986,2022-08-21 16:40:18 Z
KRBNP,35.07718333,128.82584833,35.077415,128.825795,2022-08-23 00:56:25 Z,35.077515,128.82557333,2022-08-23 20:20:32 Z,35.07747833,128.82603667,2022-08-24 01:02:33 Z
