port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
CNYAN,30.65356,122.01723,30.65373,122.01718,2022-07-01 09:20:50 Z,30.65409,122.01709,2022-07-01 09:41:24 Z,30.6539,122.01727,2022-07-02 09:35:28 Z
KRBNP,35.07709,128.78807,35.07735,128.78813,2022-07-04 04:57:34 Z,35.07773,128.78769,2022-07-04 11:19:39 Z,35.07739,128.78786,2022-07-05 19:01:48 Z
CAPRR,54.28778,-130.36147,54.28901,-130.3608,2022-07-19 10:23:50 Z,54.30739,-130.36048,2022-07-19 10:23:50 Z,54.28901,-130.36091,2022-07-20 08:51:02 Z
CA102,49.28981,-123.09936,49.29073,-123.0997,2022-08-18 11:45:38 Z,49.3064,-123.189,2022-08-18 11:45:38 Z,49.29026,-123.09956,2022-08-24 10:16:27 Z
USTIW,47.26072667,-122.38647333,47.275395,-122.40874667,2022-08-25 00:10:15 Z,47.37582167,-122.37573167,2022-08-25 00:10:15 Z,47.267565,-122.39611,2022-08-29 02:15:54 Z
