port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
USLAX,33.75132,-118.27362,33.75147,-118.27363,2022-07-13 12:55:07 Z,33.75156,-118.27364,2022-07-13 16:01:02 Z,33.75145,-118.27371,2022-07-23 01:55:02 Z
USTSU,37.81047,-122.32667,37.8105,-122.32659,2022-07-31 14:55:56 Z,37.05529,-125.66661,2022-07-31 14:55:56 Z,37.81055,-122.32662,2022-08-01 23:46:40 Z
TWKEL,25.14735,121.75353,25.14742,121.75353,2022-08-15 23:16:34 Z,25.22996,121.74023,2022-08-15 23:16:34 Z,25.1474,121.75354,2022-08-16 12:25:29 Z
CNFHC,24.44672667,118.00821167,24.44684833,118.00802167,2022-08-18 23:12:07 Z,24.44688833,118.00796333,2022-08-19 11:41:59 Z,24.44673833,118.00797333,2022-08-20 02:00:50 Z
CNSTJ,22.57347833,114.26776,22.573515,114.267745,2022-08-20 21:00:46 Z,22.57355667,114.26765167,2022-08-20 23:17:57 Z,22.57356,114.267725,2022-08-21 23:38:53 Z
TWKHH,22.544875,120.32741,22.544935,120.327405,2022-08-22 18:56:35 Z,22.52241167,120.18995833,2022-08-22 18:56:35 Z,22.54509167,120.32747833,2022-08-24 10:26:00 Z
