port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
KRBNP,35.065,128.79797,35.06575,128.79755,2022-07-05 02:05:01 Z,35.06762,128.78857,2022-07-05 02:05:01 Z,35.06568,128.79767,2022-07-08 17:00:39 Z
CNQAW,36.01152,120.23007,36.00543,120.3954,2022-07-15 09:00:53 Z,36.01328,120.22518,2022-07-15 09:00:53 Z,36.00543,120.3954,2022-07-15 09:00:53 Z
CNWGQ,31.37612,121.5769,31.37638,121.57697,2022-07-16 18:40:08 Z,31.39063,121.56178,2022-07-16 18:40:08 Z,31.37627,121.57685,2022-07-17 07:20:47 Z
CNSTJ,22.562,114.25248,22.56205,114.25243,2022-07-19 17:00:09 Z,22.5619,114.2522,2022-07-20 12:36:09 Z,22.56253,114.25385,2022-07-20 13:14:46 Z
AUMEL,-37.84815,144.91067,-37.84803,144.91073,2022-08-03 21:00:28 Z,-37.84782,144.91085,2022-08-04 03:06:28 Z,-37.84792,144.91068,2022-08-06 02:50:47 Z
AUBTB,-33.9705,151.20647,-33.9705,151.20647,2022-08-07 23:56:24 Z,-33.97018,151.20598,2022-08-08 02:02:28 Z,-33.97038,151.20643,2022-08-09 20:32:26 Z
AUBRA,-27.36152,153.17802,-27.36125,153.17802,2022-08-13 05:55:26 Z,-27.32883,153.19603,2022-08-13 05:55:26 Z,-27.36127,153.17815,2022-08-15 03:52:20 Z
