port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
TWKHH,22.54394,120.32832,22.54401,120.32825,2022-06-30 14:57:28 Z,22.54401,120.32825,2022-06-30 14:57:28 Z,22.54404,120.32845,2022-06-30 22:25:38 Z
CNSTJ,22.56636,114.28383,22.56513,114.28496,2022-07-03 15:30:35 Z,22.5664,114.2837,2022-07-03 23:24:26 Z,22.56642,114.28376,2022-07-04 23:24:18 Z
EGADA,29.83685,32.56961,29.83698,32.56982,2022-07-22 20:56:59 Z,29.83863,32.56961,2022-07-22 20:56:59 Z,29.83698,32.56982,2022-07-22 20:56:59 Z
NLMSV,51.94961,3.98901,51.94971,3.98923,2022-08-01 12:35:27 Z,51.94962,3.98897,2022-08-01 13:37:29 Z,51.95074,3.99268,2022-08-03 22:20:30 Z
DEHAM,53.52853167,9.92309667,53.52857333,9.92307833,2022-08-29 17:55:38 Z,53.56311167,9.72577667,2022-08-29 17:55:38 Z,53.52859833,9.92306833,2022-08-31 14:47:56 Z
