port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
USSAV,32.13473,-81.14253,32.13494,-81.14248,2022-07-15 02:20:55 Z,32.13498,-81.14253,2022-07-15 04:17:48 Z,32.13497,-81.14245,2022-07-16 22:20:03 Z
USORF,36.90969,-76.32744,36.9097,-76.32752,2022-07-18 10:35:03 Z,36.9097,-76.32752,2022-07-18 10:35:03 Z,36.9098,-76.32753,2022-07-20 16:35:06 Z
PAPBM,9.46475,-79.84817,9.46553,-79.84909,2022-07-25 08:05:36 Z,9.51662,-79.87946,2022-07-25 08:05:36 Z,9.46553,-79.84909,2022-07-25 08:05:36 Z
PACFZ,9.25067,-79.9169,9.12034,-79.74428,2022-07-26 18:51:47 Z,9.51662,-79.87946,2022-07-26 18:51:47 Z,9.12034,-79.74428,2022-07-26 18:51:47 Z
PAPCN,9.01395,-79.61688,9.01398,-79.61688,2022-07-26 21:10:06 Z,9.51662,-79.87946,2022-07-26 21:10:06 Z,9.01396,-79.61693,2022-07-27 07:20:19 Z
TWKHH,22.547075,120.32559667,22.54760667,120.32564333,2022-08-19 08:50:18 Z,22.49914167,120.15351667,2022-08-19 08:50:18 Z,22.547145,120.325615,2022-08-20 06:15:34 Z
CNSTJ,22.567765,114.27293,22.56784667,114.27281,2022-08-22 13:30:23 Z,22.56780333,114.27263167,2022-08-23 03:34:03 Z,22.56789333,114.272885,2022-08-23 16:10:06 Z
CNYAN,30.65366167,122.01626167,30.654065,122.015795,2022-08-27 18:12:02 Z,30.65411,122.01572833,2022-08-28 11:45:42 Z,30.65406667,122.015855,2022-08-28 17:38:50 Z
KRBNP,35.07121,128.83020833,35.07128167,128.83026667,2022-08-30 15:08:59 Z,35.07198667,128.825605,2022-08-30 15:08:59 Z,35.07127333,128.83021667,2022-08-31 14:35:19 Z
