port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
KRBNP,35.06967,128.82187,35.06995,128.82145,2022-07-17 12:50:04 Z,35.03882,128.78432,2022-07-17 12:50:04 Z,35.0699,128.82205,2022-07-18 17:07:41 Z
TWKHH,22.54795,120.32488,22.54828,120.325,2022-07-20 23:05:01 Z,22.54717,120.28813,2022-07-20 23:05:01 Z,22.54808,120.3248,2022-07-21 16:22:14 Z
CNSTJ,22.57363,114.26347,22.57383,114.26365,2022-07-25 11:10:25 Z,22.57383,114.26342,2022-07-25 14:55:25 Z,22.5738,114.26347,2022-07-26 16:52:25 Z
CABNI,49.30001667,-123.22483333,49.30055,-123.22401667,2022-08-27 11:26:46 Z,49.2756,-123.2971,2022-08-27 11:26:46 Z,49.30055,-123.22401667,2022-08-27 11:26:46 Z
CARTB,49.01936667,-123.15136667,49.01963333,-123.15118333,2022-08-29 07:45:21 Z,49.14251667,-123.37526667,2022-08-29 07:45:21 Z,49.01958333,-123.15123333,2022-08-31 14:39:09 Z
