port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
GBSOU,50.90519,-1.44499,50.90527,-1.445,2022-06-30 14:58:38 Z,50.90527,-1.445,2022-06-30 14:58:38 Z,50.90529,-1.44494,2022-07-02 10:50:31 Z
SGSIN,1.27357,103.77409,1.27354,103.77436,2022-07-23 11:40:05 Z,1.24612,103.72753,2022-07-23 11:40:05 Z,1.27365,103.77411,2022-07-25 04:11:24 Z
HKSTN,22.34565,114.12049,22.34573,114.12038,2022-08-01 08:01:26 Z,22.34582,114.12054,2022-08-01 09:31:22 Z,22.34573,114.12038,2022-08-02 13:10:36 Z
CNFHC,24.44497,118.01664,24.44501,118.01657,2022-08-05 00:30:27 Z,24.44667,118.005,2022-08-05 00:30:27 Z,24.445,118.01661,2022-08-05 13:50:43 Z
TWKHH,22.5439,120.32835,22.54399,120.32831,2022-08-06 06:00:40 Z,22.519,120.166,2022-08-06 06:00:40 Z,22.54399,120.32828,2022-08-08 05:51:31 Z
CNSTJ,22.57566,114.28082,22.57584,114.2807,2022-08-11 07:16:32 Z,22.57578,114.28065,2022-08-11 14:14:25 Z,22.57575,114.28071,2022-08-12 19:00:27 Z
EGADA,29.81990667,32.57265,29.81996333,32.572575,2022-08-29 20:36:03 Z,31.32990667,32.37557333,2022-08-30 15:46:08 Z,29.81996333,32.572575,2022-08-29 20:36:03 Z
