port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
CNYAN,30.653,122.02011,30.65309,122.02008,2022-07-02 22:40:29 Z,30.65329,122.01995,2022-07-03 00:51:26 Z,30.65319,122.02006,2022-07-03 23:13:33 Z
CNNGB,29.98679,121.84006,29.98688,121.8401,2022-07-05 00:00:03 Z,29.98694,121.84,2022-07-05 04:16:08 Z,29.98688,121.84008,2022-07-06 15:40:58 Z
TWKHH,22.54697,120.32542,22.54711,120.32545,2022-07-08 04:10:06 Z,22.54355,120.11883,2022-07-08 04:10:06 Z,22.54709,120.32547,2022-07-09 03:11:33 Z
CNCWN,22.48529,113.86769,22.48539,113.86766,2022-07-10 07:49:58 Z,22.48543,113.86764,2022-07-10 11:07:59 Z,22.48561,113.86726,2022-07-11 08:38:03 Z
SGBKM,1.27336,103.7849,1.27343,103.78489,2022-07-15 19:45:02 Z,1.25998,103.77495,2022-07-15 19:45:02 Z,1.27344,103.78491,2022-07-16 23:27:34 Z
GRDPA,37.9554,23.58594,37.95449,23.58647,2022-07-31 19:10:34 Z,37.95555,23.58587,2022-07-31 21:05:28 Z,37.95539,23.5861,2022-08-01 19:00:38 Z
ITMUT,44.41855,8.78483,44.41879,8.78501,2022-08-06 04:00:27 Z,44.41888,8.7851,2022-08-06 07:05:37 Z,44.41875,8.78511,2022-08-09 10:57:21 Z
ITLER,43.96538,9.89751,43.96545,9.89743,2022-08-10 21:27:26 Z,43.99791,9.77622,2022-08-10 21:27:26 Z,43.96546,9.89761,2022-08-10 21:42:24 Z
ITSPE,44.10561,9.84646,44.10575,9.8466,2022-08-13 22:35:26 Z,44.10578,9.84653,2022-08-13 23:20:37 Z,44.10363,9.8461,2022-08-17 02:55:27 Z
FRPSL,43.41209833,4.84389167,43.41226,4.84382,2022-08-18 04:00:38 Z,43.41236,4.84381,2022-08-18 06:10:30 Z,43.41225,4.84385833,2022-08-21 01:34:29 Z
ESBCN,41.34966167,2.16906667,41.34785,2.168365,2022-08-22 02:05:33 Z,41.34976667,2.16906167,2022-08-22 06:20:51 Z,41.34970167,2.16908667,2022-08-23 16:06:01 Z
